state,year,literacy_overall,literacy_male,literacy_female,gender_gap,dropout_rate_secondary,pupil_teacher_ratio,gross_enrollment_ratio
Maharashtra,2019,97.5,99.0,96.0,3.0,2.8,20.3,102.6
Odisha,2019,89.3,94.0,84.6,9.4,5.7,29.4,95.5
Punjab,2019,91.9,98.2,85.5,12.7,3.7,17.6,105.1
Rajasthan,2019,75.0,81.8,68.1,13.7,8.4,33.8,95.9
Tamil Nadu,2019,91.6,97.8,85.3,12.5,3.9,21.9,106.6
Telangana,2019,87.2,92.6,81.9,10.7,7.2,27.1,98.7
Uttar Pradesh,2019,75.1,81.4,68.9,12.5,9.6,35.0,98.6
Uttarakhand,2019,92.0,96.7,87.3,9.4,3.9,23.3,108.1
West Bengal,2019,86.9,92.9,80.8,12.1,9.7,28.8,93.1
Andhra Pradesh,2023,91.6,96.5,86.8,9.7,8.0,24.9,96.5
Assam,2023,75.7,80.6,70.7,9.9,11.0,35.6,91.0
Bihar,2023,75.7,80.2,71.1,9.1,10.9,36.7,95.7
Chhattisgarh,2023,80.9,86.6,75.3,11.3,9.5,34.5,95.8
Delhi,2023,96.2,99.0,93.4,5.6,2.1,22.6,107.7
Gujarat,2023,85.5,88.3,82.8,5.5,3.6,27.2,102.5
Haryana,2023,87.3,93.5,81.1,12.4,8.0,28.7,104.3
Himachal Pradesh,2023,96.6,99.0,94.2,4.8,0.6,20.7,104.2
Jharkhand,2023,83.8,88.5,79.2,9.3,10.9,32.3,96.7
Karnataka,2023,86.5,91.3,81.7,9.7,5.7,27.6,97.0
Kerala,2023,95.4,99.0,91.9,7.1,2.8,23.8,109.2
Madhya Pradesh,2023,77.2,82.3,72.0,10.4,10.0,37.7,96.4
Maharashtra,2023,93.8,99.0,88.6,10.4,4.9,23.1,105.7
Odisha,2023,90.1,94.9,85.3,9.7,6.3,29.7,97.7
Punjab,2023,94.5,97.1,91.9,5.3,1.8,22.2,111.1
Rajasthan,2023,81.1,85.9,76.3,9.5,9.9,34.2,95.8
Tamil Nadu,2023,95.5,99.0,91.9,7.1,1.0,22.9,113.0
Telangana,2023,90.0,96.0,84.1,11.9,7.1,28.8,99.7
Uttar Pradesh,2023,79.4,83.8,74.9,8.8,11.2,37.6,96.3
Uttarakhand,2023,95.9,99.0,92.8,6.2,3.5,18.3,104.2
West Bengal,2023,82.6,88.0,77.1,10.9,7.5,27.1,95.7
